,id,cg_rank,cg_score,market_rank,daily_vol,tvl,mcap_t_tvl,price_change,number_of_exchanges
261,cumrocket,700,25.289,491,2355118,0,0,184.34188,2
262,ankreth,1543,18.106,308,88975,0,0,29.31173,5
263,thorstarter,1288,19.773,273,520377,0,0,63.449,1
264,e-money,1812,16.554,810,541731,0,0,-29.79924,4
265,mdex,635,26.108,140,24513433,1411310872,0.49,-6.11048,21
266,mysterium,281,33.916,790,673735,0,0,131.49488,6
267,chain-guardians,1218,20.248,630,2306095,0,0,30.43956,8
268,eqifi,827,23.663,946,1715908,0,0,0.16658,8
269,just,516,27.869,437,752880035,9409546,11.73,24.09932,40
270,scream,1362,19.21,1013,3719629,510933832,0.03,16.63045,2
271,occamfi,686,25.436,418,1336660,0,0,5.24459,9
272,binance-usd,238,35.811,18,11563391737,0,0,0.4645,15
273,constellation-labs,118,44.984,170,4695745,0,0,-28.4689,3
274,feisty-doge-nft,2087,15.185,728,5690907,0,0,488.81296,3
275,populous,1061,21.389,875,1373477,0,0,-4.79439,10
276,serum,461,28.969,117,143158011,1559985502,0.6,-7.80303,47
277,trias-token,920,22.673,500,22650391,0,0,145.1555,3
278,dforce-token,605,26.605,615,4350617,284880904,0.19,-18.16754,11
279,peercoin,177,39.418,916,31707,0,0,18.67285,8
280,solanium,1048,21.492,434,2126007,0,0,-4.6542,6
281,pax-gold,889,23.055,228,6704563,0,0,3.05807,12
282,insurace,834,23.612,918,1582159,40560876,0.53,10.83123,14
283,futureswap,1406,18.966,545,799049,721391,100.03,0.90394,5
284,defi-warrior,1420,18.882,655,679261,0,0,-5.28668,3
285,idia,1213,20.277,545,1638168,0,0,41.42658,4
286,databroker-dao,436,29.388,843,1140.37,0,0,226.8863,2
287,gyen,549,27.438,954,361948,0,0,-1.36905,1
288,nano,30,55.653,139,27639785,0,0,25.14836,22
289,shirtum,1531,18.204,887,1213880,0,0,-22.69196,4
290,ignis,847,23.468,948,401884,0,0,19.3257,9
291,unifty,1658,17.401,773,751347,0,0,19.17639,3
292,feg-token,466,28.819,220,9538448,0,0,373.37884,5
293,skey-network,760,24.464,765,1918146,0,0,-13.8872,3
294,power-ledger,404,30.102,359,5741973,0,0,22.10534,26
295,stacktical,719,24.971,676,2360831,0,0,55.64725,13
296,theta-fuel,290,33.71,83,39221438,0,0,23.73075,17
297,e-radix,584,26.934,409,1176243,0,0,-14.70683,7
298,stafi,868,23.234,699,8963124,69876331,0.62,14.9423,12
299,tracer-dao,1602,17.679,581,6084255,0,0,336.15983,4
300,coinzoom-token,2198,14.61,798,164052,0,0,8.83178,1
301,chia,341,32.22,245,26136567,0,0,-13.15162,17
302,nest,1219,20.243,896,5229898,0,0,0.62009,18
303,nexus,223,36.708,661,203965,680114939,0.07,-6.59863,2
304,iostoken,53,51.359,104,200175807,0,0,-12.46013,39
305,airswap,276,34.101,712,1008488,0,0,8.80655,14
306,digixdao,310,33.102,569,61230,0,0,39.95842,5
307,alchemix,798,23.967,218,7453874,1367203867,0.25,98.62445,7
308,paccoin,253,35.044,521,695175,0,0,-49.85201,7
309,kylin-network,1252,20.041,711,765457,0,0,17.48304,5
310,nusd,83,48.074,326,6351718,0,0,2.5053,7
311,compound-ether,56,51.087,33,17861532,0,0,42.14788,2
312,renbtc,104,45.843,110,17591707,0,0,44.95462,14
313,konomi-network,1411,18.937,976,920647,0,0,20.12563,9
314,credmark,1023,21.665,990,12352.81,0,0,114.31611,2
315,pinknode,1856,16.3,964,119846,0,0,190.34674,1
316,alchemist,418,29.807,390,1083385,19398329,6.67,35.23268,4
317,telcoin,232,36.179,111,24255946,0,0,20.03677,13
318,coin-capsule,1062,21.361,840,381436,0,0,36.08795,6
319,morpheus-labs,1070,21.272,782,1031298,0,0,56.96151,7
320,neon-exchange,2241,14.381,814,302.34,0,0,49.2307,2
321,nftx,1604,17.672,575,151936,58480357,1.13,21.41655,6
322,tidal-finance,1305,19.631,853,1460674,12806249,2.06,203.91919,5
323,hunt-token,198,37.883,517,11515340,0,0,13.61116,6
